"#","NAME","LVL","Framing Chances","CSAA","CSAA SD","Framing Runs","Runs SD","Blocking Chances","EPAA","Blocking Runs","Steal Attempts","SRAA","TRAA","THROWING_RUNS","YEAR","FRAA_ADJ","FRAA"
"1","J.T. Realmuto","MLB","8,394","0.004","0.002","5.3","3.1","5763","-0.001","1.7","63","-0.023","-0.001","1.0","2017","9.1","16.1"
"2","Yadier Molina","MLB","8,386","0.005","0.002","6.4","2.5","5457","-0.000","0.2","52","-0.065","-0.010","2.2","2017","9.3","6.0"
"3","Martin Maldonado","MLB","8,267","0.022","0.001","27.2","1.9","5294","-0.001","1.0","68","-0.070","0.000","3.2","2017","32.0","32.1"
"4","Matt Wieters","MLB","7,224","-0.010","0.002","-11.2","2.6","4596","-0.001","1.5","67","0.016","-0.003","-0.7","2017","-11.0","-10.4"
"5","Salvador Perez","MLB","7,011","-0.009","0.002","-10.0","1.7","4652","-0.001","1.5","65","-0.002","-0.002","0.1","2017","-8.4","-10.2"
"6","Mike Zunino","MLB","6,961","0.010","0.002","10.9","2.3","4468","0.002","-3.1","66","0.012","0.001","-0.6","2017","5.6","6.3"
"7","Tucker Barnhart","MLB","6,956","-0.008","0.002","-8.2","1.7","4807","-0.002","2.7","60","-0.122","-0.001","4.9","2017","-0.9","0.7"
"8","Jonathan Lucroy","MLB","6,857","-0.017","0.002","-17.9","1.8","4631","0.002","-3.0","61","-0.017","0.004","0.7","2017","-21.0","-0.1"
"9","Yasmani Grandal","MLB","6,735","0.025","0.002","26.2","2.0","4553","0.001","-1.4","56","-0.033","0.003","1.3","2017","26.2","27.7"
"10","Austin Hedges","MLB","6,716","0.027","0.003","28.0","3.3","4537","-0.001","1.3","60","-0.055","-0.005","2.2","2017","30.3","34.1"
"11","James McCann","MLB","6,529","-0.013","0.001","-13.2","1.3","4512","0.003","-3.4","70","0.017","0.002","-0.8","2017","-18.6","-20.9"
"12","Jason Castro","MLB","6,406","0.009","0.002","8.3","1.9","4161","-0.000","0.3","49","0.005","-0.006","-0.2","2017","8.1","7.7"
"13","Willson Contreras","MLB","6,228","-0.003","0.003","-2.8","3.0","4196","-0.000","0.6","76","0.022","0.009","-1.1","2017","-1.1","0.4"
"14","Gary Sanchez","MLB","6,095","0.008","0.003","7.4","2.5","4323","0.003","-3.1","56","-0.061","0.006","2.3","2017","7.2","5.4"
"15","Welington Castillo","MLB","5,967","0.007","0.003","6.8","2.5","4167","-0.001","1.3","48","-0.098","-0.004","3.2","2017","12.4","10.8"
"16","Christian Vazquez","MLB","5,935","0.017","0.002","15.5","1.8","4134","-0.001","1.0","41","-0.085","-0.004","2.4","2017","19.6","16.4"
"17","Brian McCann","MLB","5,917","0.002","0.001","1.4","1.3","4381","0.000","-0.4","50","0.073","0.001","-2.5","2017","-1.7","-2.6"
"18","Travis d'Arnaud","MLB","5,894","0.012","0.003","11.2","2.5","4044","-0.001","0.9","54","0.083","-0.007","-3.1","2017","9.0","11.4"
"19","Buster Posey","MLB","5,892","0.005","0.004","4.8","3.3","3877","-0.000","0.2","51","-0.067","-0.004","2.3","2017","7.4","10.5"
"20","Yan Gomes","MLB","5,758","0.005","0.002","4.2","1.3","3743","-0.000","0.5","50","-0.069","-0.003","2.3","2017","7.6","6.8"
"21","Manny Pina","MLB","5,615","-0.003","0.002","-2.9","1.9","3809","-0.001","0.7","52","-0.055","0.002","2.0","2017","3.0","1.4"
"22","Cameron Rupp","MLB","5,432","-0.016","0.002","-13.0","1.9","3704","0.000","-0.2","53","-0.004","-0.004","0.1","2017","-14.2","-11.5"
"23","Tyler Flowers","MLB","5,348","0.039","0.003","32.0","2.5","3763","0.001","-0.8","60","0.028","0.005","-1.1","2017","30.1","29.5"
"24","Omar Narvaez","MLB","5,282","-0.008","0.003","-6.3","2.4","3546","0.001","-1.5","61","0.014","0.007","-0.6","2017","-9.3","-9.6"
"25","Robinson Chirinos","MLB","5,164","-0.002","0.004","-1.6","2.8","3504","-0.002","2.4","54","0.023","-0.002","-0.9","2017","0.2","-0.2"
"26","Kevan Smith","MLB","4,964","0.002","0.002","1.6","1.5","3201","0.002","-1.6","51","0.113","0.005","-3.9","2017","-4.5","-6.2"
"27","Sandy Leon","MLB","4,952","0.013","0.001","9.7","1.1","3302","-0.000","0.4","39","-0.076","0.001","2.0","2017","10.7","10.8"
"28","Russell Martin","MLB","4,919","0.003","0.003","2.6","2.1","3359","0.000","-0.2","52","0.030","0.000","-1.1","2017","1.1","1.6"
