"Name","Team","Pos","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"Martin Maldonado","LAA","C","1146.1","12","3","3","","","3","","","22","","","","","7","23.8","","","","","","","36.6","6887"
"Tyler Flowers","ATL","C","745.0","20","-3","-3","","","-3","","","11","","","","","-1","31.9","","","","","","","35.3","9134"
"Yasmani Grandal","LAD","C","999.1","12","2","4","","","0","","","17","","","","","1","20.1","","","","","","","32.6","11368"
"Austin Hedges","SDP","C","933.1","13","2","1","","","4","","","20","","","","","8","21.8","","","","","","","30.8","12976"
"Christian Vazquez","BOS","C","771.0","15","-5","3","","","-1","","","12","","","","","6","13.5","","","","","","","23.1","9774"
"Yadier Molina","STL","C","1125.2","4","-1","3","","","1","","","7","","","","","8","8.7","","","","","","","21.4","7007"
"Roberto Perez","CLE","C","580.2","8","3","1","","","2","","","14","","","","","5","11.1","","","","","","","17.0","2900"
"Austin Barnes","LAD","C","438.1","6","-1","0","","","1","","","4","","","","","2","11.6","","","","","","","15.4","12158"
"J.T. Realmuto","MIA","C","1095.2","-3","-8","3","","","1","","","-5","","","","","","2.7","","","","","","","15.1","11739"
"Buster Posey","SFG","C","826.1","3","-2","2","","","-1","","","2","","","","","8","5.0","","","","","","","14.1","9166"
"Sandy Leon","BOS","C","699.1","8","4","3","","","0","","","15","","","","","1","4.8","","","","","","","13.8","5273"
"Caleb Joseph","BAL","C","621.2","2","7","-4","","","4","","","10","","","","","2","12.0","","","","","","","13.4","7087"
"Jeff Mathis","ARI","C","474.2","5","0","1","","","1","","","6","","","","","1","8.3","","","","","","","13.3","3448"
"Welington Castillo","BAL","C","753.1","-6","-10","5","","","2","","","-9","","","","","-3","1.6","","","","","","","13.1","3256"
"Mike Zunino","SEA","C","994.0","3","4","1","","","-4","","","4","","","","","3","2.3","","","","","","","11.9","13265"
"Rene Rivera","- - -","C","537.1","0","-3","3","","","-3","","","-3","","","","","1","4.1","","","","","","","11.7","3648"
"Brian McCann","HOU","C","827.1","4","-6","-4","","","-2","","","-8","","","","","-5","8.5","","","","","","","11.6","4810"
"Yan Gomes","CLE","C","856.0","-2","-4","3","","","2","","","-1","","","","","6","0.7","","","","","","","11.0","9627"
"Manny Pina","MIL","C","760.1","1","4","6","","","2","","","14","","","","","5","-1.5","","","","","","","11.0","2829"
"Russell Martin","TOR","C","683.2","3","-2","1","","","1","","","3","","","","","3","3.2","","","","","","","10.0","4616"
"Gary Sanchez","NYY","C","881.0","1","3","3","","","-5","","","1","","","","","-1","-0.7","","","","","","","9.8","11442"
"Travis d'Arnaud","NYM","C","771.1","-1","2","-4","","","2","","","-1","","","","","-7","7.1","","","","","","","9.7","7739"
"Chris Iannetta","ARI","C","632.2","3","-2","0","","","0","","","1","","","","","-1","4.0","","","","","","","9.4","8267"
"Jesus Sucre","TBR","C","463.1","3","-2","2","","","0","","","2","","","","","-1","2.8","","","","","","","8.7","5942"
"Jason Castro","MIN","C","908.2","3","7","0","","","-1","","","10","","","","","1","0.9","","","","","","","8.7","8722"
"Luke Maile","TOR","C","339.1","2","3","2","","","1","","","8","","","","","0","2.2","","","","","","","7.1","13355"
