last_name, first_name,fielder_2,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19
Mathis, Jeff,425772,2018,1728,11,55,18,31.7,14.9,59.8,80.1,40.2,61,48.9
Wolters, Tony,547172,2018,1589,8,52.1,22.7,39.6,14.3,67.5,68,45,59,37.7
Stassi, Max,545358,2018,1977,10,51.8,13.5,50,22.1,67.9,70.4,35.3,54.5,33.3
Avila, Alex,488671,2018,1608,6,51.8,17.4,41.4,20,71.2,77.2,38.7,49.2,34.3
Murphy, John Ryan,571974,2018,1497,6,51.5,8.4,33.3,13.6,64.4,75.2,38.8,60.3,43.3
Barnes, Austin,605131,2018,1594,6,51.5,5.1,33.7,6.5,54.6,77.7,39.1,61,47.4
Gomes, Yan,543228,2018,2997,7,51.2,18.1,26.1,12,73.6,64.8,48.9,55.9,28.5
Leon, Sandy,506702,2018,2444,5,51,19.6,55.4,27,71.6,70.4,29.8,47.1,22.6
Zunino, Mike,572287,2018,2882,8,50.8,17.4,37.5,24.4,65.2,66.7,34,60,32.8
Grandal, Yasmani,518735,2018,3405,10,50.7,12.3,35.7,18,61.7,68.6,35.3,65.6,36.5
Iannetta, Chris,455104,2018,2558,7,50.7,20.5,45.5,15,72.8,71.8,29.9,41.9,30.9
Alfaro, Jorge,595751,2018,2883,9,50.6,20,48.3,19.8,73.1,62,33.3,50.9,26.7
Flowers, Tyler,452095,2018,2145,9,50.5,16.2,41.6,20,65.4,70.8,40.1,59.9,29.3
Wilson, Bobby,435064,2018,1249,3,50.4,14,34.1,7.3,69.7,75.1,34.4,52.4,33.5
Maile, Luke,571912,2018,1842,4,50.4,26.4,48.3,28.6,71.6,72.2,27.8,47.4,32.8
Perez, Roberto,547379,2018,1553,4,50.3,15.4,38.3,21.6,60.6,75.7,35.1,55.5,27.6
Sanchez, Gary,596142,2018,2421,3,49.9,18.1,36.5,20.7,74.4,69.5,32.6,47.3,27.8
Hedges, Austin,595978,2018,2490,6,49.8,17.6,47.6,25.3,63.7,67.3,36.5,55.2,30.8
Kratz, Erik,456124,2018,1936,5,49.6,22.2,47.3,26.2,63.9,70.1,38.6,51.2,25.4
Romine, Austin,519222,2018,2131,4,49.6,21.1,39.2,21.3,71.1,65.2,45.7,48.1,26.8
Posey, Buster,457763,2018,2614,3,49.3,16.6,41.7,17.8,63.1,70.9,31,52.4,31.1
Maldonado, Martin,455117,2018,3434,4,49,14.4,39.5,18.5,60.2,71.3,32.5,54.4,33.9
Holaday, Bryan,592407,2018,1210,2,48.9,6.7,17.9,21,61.3,72.9,40.8,56,36.8
Martin, Russell,431145,2018,2191,3,48.7,17.9,44,28.7,65.2,70.8,29.7,50.8,27.8
Realmuto, J.T.,592663,2018,3314,5,48.3,11.4,29.1,7.2,71.2,61.2,38.8,53.9,27
Briceno, Jose,593993,2018,995,-1,48,25.8,44.8,36.5,60.4,74.5,26,41.3,30.2
Vazquez, Christian,543877,2018,2346,2,48,13.8,42.1,15.2,62.4,72,31.1,49.7,32.7
McCann, James,543510,2018,3402,-1,47.5,20.6,37.2,17.5,64.4,67.9,38,49.5,19.5
Severino, Pedro,600474,2018,1656,-2,47.3,12,28.9,13,75.9,58,46.8,55.6,21.2
Molina, Yadier,425877,2018,3554,-4,46.7,20.4,51,20.2,66.3,62.5,26.7,45.3,17.2
McCann, Brian,435263,2018,1692,-3,46.4,8.3,18.4,14.3,68.1,64.3,42.4,50.7,25.1
Pina, Manny,444489,2018,2654,0,46.4,11.8,30.1,16.5,57.7,69.3,35.6,51.2,32.4
Contreras, Willson,575929,2018,3905,-10,46.2,12.5,34.3,18.9,62.4,67.4,29.1,45.8,30.3
Suzuki, Kurt,435559,2018,2549,-3,46.1,14.7,40.8,9.2,65.3,64.9,32.7,44.6,26.4
Ramos, Wilson,467092,2018,2607,-3,46,20.7,49.9,22,70.4,65.9,28.3,37.6,17.6
Pena, Francisco,506747,2018,1052,-1,46,16.9,51.7,12.8,68.8,62.9,32.3,40.5,15.7
Diaz, Elias,553869,2018,1820,-3,46,15.1,38.6,19.7,68.3,65,36.8,44.7,19.4
Sisco, Chance,642082,2018,1218,-1,45.9,12.9,34.7,23.6,74.8,60.9,41.9,42,18.7
Lucroy, Jonathan,518960,2018,3301,-4,45.9,13.4,32.9,19.9,64.7,62.4,29.6,52.1,27.6
Smith, Kevan,607345,2018,1460,-2,45.7,25.2,58.2,28.2,70.8,66.3,25.8,32.4,14.4
Joseph, Caleb,543376,2018,2455,-3,45.6,20.9,39.3,17.2,65.8,61,36.1,45.2,21.7
Caratini, Victor,605170,2018,1058,0,45.5,14.6,27.5,13.2,62.1,65.9,31.5,45.5,30
Wynns, Austin,642851,2018,1029,-2,45.4,25.4,39.2,19,71.5,53,38.6,42.5,23.8
Plawecki, Kevin,608700,2018,2090,-4,45.4,21.5,41.1,29.6,55.3,68.8,23.5,42.5,23.1
Cervelli, Francisco,465041,2018,2738,-11,45.4,18.1,35,12.5,67.1,63.8,33,47.7,24.2
Hundley, Nick,460026,2018,2246,-7,44.9,10.9,41.9,18.9,59.1,70.9,24.3,38.9,22.4
Chirinos, Robinson,455139,2018,3261,-10,44.9,9,27,15.3,61.2,64.8,28.4,51,24.3
Knapp, Andrew,595284,2018,1227,-4,44.3,16.1,34.5,15.6,68.4,57,37,45.7,21.2
Mesoraco, Devin,519023,2018,1933,-9,44.2,14,33.9,11.1,66.2,63.5,28.9,48.4,20.4
Sucre, Jesus,491696,2018,1553,-6,43.9,13.3,31.1,7.4,68.5,53.7,29.8,52.6,26.7
Perez, Salvador,521692,2018,2926,-11,43.7,17.3,39.4,20.3,65.2,59.3,34.1,39.4,23.7
Barnhart, Tucker,571466,2018,3459,-18,43.5,14.4,38.5,14.3,61.1,57.9,40.2,47.7,19
Butera, Drew,460077,2018,1478,-7,43.4,14.3,30.9,9.1,68.2,63.5,34,41.9,22.7
Wieters, Matt,446308,2018,1732,-5,43.2,26,37.8,8.8,74.4,55.4,25.9,37.7,17.1
Castillo, Welington,456078,2018,1318,-5,43.1,16,31,8.6,60.9,66,24.8,45.9,19.6
Narvaez, Omar,553882,2018,2217,-13,43.1,20.7,49,21,68.9,57.7,26.2,35.9,11.2
Kieboom, Spencer,571851,2018,1190,-4,42.9,16.7,29,16.1,66.8,61.5,35.4,42.4,27.1
Garver, Mitch,641598,2018,2372,-9,42,13.3,34.9,24.5,61.9,67.2,28.4,33.7,15.2
Ellis, A.J.,454560,2018,1284,-6,41,14.8,39.7,13.8,68.2,50.2,25.7,39.6,12.1
Kiner-Falefa, Isiah,643396,2018,993,-5,40.7,12.2,32.7,10.3,62.6,51.2,25,46.7,17.7
